epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5909,1.27268,3.7808,1.14308,0.0068,0.31263,0.01456,0.00681,0.74184,3.80868,0.987,5.716e-05,5.716e-05,5.716e-05
2,42.5436,1.08059,3.32056,1.01843,0.02416,0.7711,0.16932,0.09097,0.65619,3.62039,0.90274,0.000127337,0.000127337,0.000127337
3,64.1076,1.08739,2.56629,1.004,0.0263,0.84199,0.29044,0.20282,0.73237,3.33028,0.86224,0.000196099,0.000196099,0.000196099
4,84.9121,1.04468,2.05079,0.98604,0.02708,0.87598,0.30733,0.21232,0.73924,3.19953,0.84815,0.000263446,0.000263446,0.000263446
5,105.555,0.94118,1.87893,0.96088,0.02796,0.916,0.33612,0.23117,0.74754,3.073,0.84296,0.000329379,0.000329379,0.000329379
6,126.194,0.83852,1.71645,0.94038,0.02884,0.95011,0.38775,0.27792,0.7977,2.9644,0.84554,0.000393897,0.000393897,0.000393897
7,146.554,0.89397,1.57913,0.96218,0.0279,0.91764,0.53343,0.42066,0.68716,2.80118,0.8439,0.000457,0.000457,0.000457
8,166.861,0.85176,1.43502,0.93876,0.02856,0.91874,0.58383,0.47003,0.72602,2.7257,0.84526,0.000518688,0.000518688,0.000518688
9,187.107,0.8094,1.39475,0.94386,0.02915,0.94396,0.58879,0.46903,0.73038,2.67897,0.84863,0.000578962,0.000578962,0.000578962
10,207.314,0.80761,1.33826,0.93309,0.02993,0.95273,0.55837,0.45438,0.61449,2.70229,0.84889,0.000637821,0.000637821,0.000637821
11,227.294,0.75431,1.26166,0.94604,0.81899,0.13608,0.65313,0.51855,0.70458,2.56406,0.85889,0.000695266,0.000695266,0.000695266
12,247.648,0.74719,1.19937,0.9086,0.7647,0.26824,0.72086,0.60315,0.61339,2.35253,0.8574,0.000751295,0.000751295,0.000751295
13,267.968,0.80278,1.24217,0.93949,0.78527,0.34741,0.73749,0.62189,0.61638,2.28283,0.85631,0.00080591,0.00080591,0.00080591
14,288.724,0.74183,1.16402,0.90639,0.8392,0.42805,0.80384,0.64587,0.73174,2.17449,0.86611,0.000859111,0.000859111,0.000859111
