epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1183,1.28777,3.82666,1.13685,0.0064,0.2814,0.01515,0.01059,0.85069,3.8217,1.00093,5.716e-05,5.716e-05,5.716e-05
2,40.9647,1.10799,3.38864,1.01633,0.02184,0.72465,0.17439,0.10081,0.73401,3.60274,0.90343,0.000127337,0.000127337,0.000127337
3,60.8401,0.99559,2.51368,0.96612,0.02407,0.83901,0.28378,0.16468,0.84006,3.34607,0.86909,0.000196099,0.000196099,0.000196099
4,81.267,1.0176,2.09359,0.97349,0.02526,0.87491,0.30877,0.1964,0.84878,3.23867,0.86165,0.000263446,0.000263446,0.000263446
5,101.333,0.92947,1.90003,0.94863,0.02632,0.91998,0.31545,0.20331,0.80425,3.1487,0.85516,0.000329379,0.000329379,0.000329379
6,121.315,0.86413,1.79869,0.94971,0.02667,0.93023,0.32019,0.21446,0.76736,3.05075,0.84429,0.000393897,0.000393897,0.000393897
7,141.381,0.84357,1.65031,0.93208,0.02708,0.94437,0.42801,0.28592,0.68237,2.87399,0.84096,0.000457,0.000457,0.000457
8,161.261,0.79427,1.47287,0.90619,0.02712,0.94421,0.46938,0.33417,0.7439,2.77103,0.83962,0.000518688,0.000518688,0.000518688
9,181.209,0.80237,1.44977,0.92865,0.06906,0.93909,0.62302,0.47309,0.80651,2.65622,0.86468,0.000578962,0.000578962,0.000578962
10,201.285,0.80734,1.34321,0.9298,0.66389,0.4407,0.67044,0.53294,0.68935,2.63433,0.86402,0.000637821,0.000637821,0.000637821
11,221.209,0.75933,1.31932,0.92362,0.77525,0.28801,0.63373,0.49782,0.75049,2.68235,0.87962,0.000695266,0.000695266,0.000695266
12,241.14,0.79969,1.25746,0.93262,0.75267,0.27857,0.60066,0.49476,0.65387,2.51131,0.87404,0.000751295,0.000751295,0.000751295
13,261.02,0.78253,1.21838,0.92101,0.73926,0.38456,0.63169,0.52531,0.66345,2.39345,0.87908,0.00080591,0.00080591,0.00080591
14,280.93,0.69033,1.13602,0.88242,0.7614,0.48959,0.75247,0.60954,0.77411,2.20387,0.89584,0.000859111,0.000859111,0.000859111
15,300.893,0.69387,1.12929,0.89927,0.72749,0.51381,0.75715,0.61781,0.7146,2.22226,0.89643,0.000910896,0.000910896,0.000910896
16,320.803,0.74181,1.10809,0.92061,0.74253,0.50918,0.76839,0.62496,0.73782,2.23081,0.90048,0.000961267,0.000961267,0.000961267
17,340.767,0.74738,1.12199,0.89471,0.87143,0.68984,0.85388,0.69931,0.73901,1.79075,0.89795,0.00101022,0.00101022,0.00101022
18,360.69,0.68442,1.04612,0.87644,0.79749,0.7549,0.86061,0.70221,0.68997,1.5899,0.88751,0.00105776,0.00105776,0.00105776
19,380.608,0.71707,1.04388,0.89854,0.69982,0.72231,0.83951,0.68449,0.66645,1.61238,0.87597,0.00110389,0.00110389,0.00110389
20,400.574,0.72072,1.02126,0.89143,0.79945,0.83608,0.89081,0.72217,0.73831,1.23427,0.89484,0.0011486,0.0011486,0.0011486
21,420.515,0.71525,1.0098,0.89459,0.79492,0.82265,0.88362,0.72817,0.65415,1.27292,0.88578,0.00114606,0.00114606,0.00114606
22,440.501,0.74693,1.04943,0.905,0.79095,0.80638,0.87273,0.69757,0.736,1.29866,0.92437,0.00113191,0.00113191,0.00113191
23,460.576,0.71944,0.95906,0.88958,0.85042,0.84478,0.89748,0.67887,0.90672,1.19167,0.94015,0.00111776,0.00111776,0.00111776
24,480.499,0.71471,0.96762,0.894,0.84877,0.85806,0.92535,0.78746,0.61072,0.99206,0.87371,0.00110362,0.00110362,0.00110362
25,500.502,0.68914,0.91611,0.8963,0.87133,0.82365,0.92295,0.78957,0.62286,1.00955,0.87993,0.00108947,0.00108947,0.00108947
26,520.526,0.64263,0.87549,0.88445,0.9236,0.84352,0.91551,0.72811,0.82577,0.96427,0.91259,0.00107532,0.00107532,0.00107532
27,540.411,0.65347,0.90726,0.89103,0.8499,0.83139,0.90013,0.71606,0.78619,0.9709,0.89572,0.00106118,0.00106118,0.00106118
28,560.308,0.62515,0.8526,0.87385,0.94899,0.84243,0.93132,0.79239,0.64375,0.88671,0.87057,0.00104703,0.00104703,0.00104703
29,580.355,0.62583,0.84057,0.88238,0.89139,0.87115,0.93458,0.75572,0.77227,0.91512,0.89234,0.00103288,0.00103288,0.00103288
30,600.28,0.66155,0.87008,0.89675,0.91673,0.85232,0.93802,0.79272,0.68123,0.88821,0.87968,0.00101873,0.00101873,0.00101873
31,620.139,0.63569,0.82222,0.89053,0.90064,0.89885,0.9529,0.82267,0.57102,0.7999,0.85612,0.00100459,0.00100459,0.00100459
32,640.086,0.56851,0.74539,0.86468,0.9177,0.84818,0.94635,0.80092,0.60566,0.79035,0.86839,0.00099044,0.00099044,0.00099044
33,660.008,0.58269,0.75838,0.86996,0.87074,0.88498,0.94136,0.8081,0.57686,0.77791,0.87328,0.000976293,0.000976293,0.000976293
34,679.94,0.56907,0.78042,0.86999,0.89829,0.87402,0.93855,0.80282,0.57336,0.77098,0.86942,0.000962146,0.000962146,0.000962146
35,699.904,0.56836,0.75444,0.85699,0.87195,0.88677,0.94091,0.80106,0.58599,0.781,0.86738,0.000947999,0.000947999,0.000947999
36,719.891,0.59833,0.74572,0.85422,0.87431,0.89759,0.93192,0.7746,0.6789,0.79604,0.8737,0.000933851,0.000933851,0.000933851
37,739.884,0.58129,0.72809,0.85463,0.86655,0.88796,0.93081,0.80688,0.55272,0.77829,0.85691,0.000919704,0.000919704,0.000919704
38,759.679,0.56024,0.71589,0.85444,0.92454,0.81485,0.93975,0.79901,0.58203,0.81224,0.85906,0.000905557,0.000905557,0.000905557
39,779.527,0.64428,0.74098,0.86377,0.87538,0.8373,0.94217,0.75597,0.74636,0.83838,0.8756,0.00089141,0.00089141,0.00089141
40,799.502,0.56055,0.72706,0.85739,0.87516,0.89342,0.94259,0.78104,0.68213,0.7871,0.87712,0.000877263,0.000877263,0.000877263
41,819.683,0.54712,0.75242,0.85878,0.90451,0.92348,0.9618,0.83616,0.5481,0.7028,0.85381,0.000863116,0.000863116,0.000863116
42,839.487,0.55671,0.72651,0.86371,0.93331,0.89035,0.95267,0.84489,0.51925,0.68594,0.84415,0.000848969,0.000848969,0.000848969
43,859.425,0.5789,0.73593,0.86114,0.92263,0.90446,0.95041,0.82726,0.56171,0.70038,0.84737,0.000834822,0.000834822,0.000834822
44,879.402,0.54397,0.68682,0.85057,0.92612,0.88325,0.95172,0.82816,0.52187,0.69739,0.85247,0.000820675,0.000820675,0.000820675
45,899.391,0.51648,0.66934,0.85041,0.91591,0.85654,0.9552,0.82686,0.51758,0.7153,0.84175,0.000806528,0.000806528,0.000806528
46,919.297,0.53523,0.71036,0.86001,0.87653,0.87313,0.94824,0.81633,0.52933,0.72567,0.84324,0.00079238,0.00079238,0.00079238
47,939.181,0.5116,0.67399,0.86334,0.90349,0.87946,0.95659,0.83453,0.51942,0.67588,0.84073,0.000778233,0.000778233,0.000778233
48,959.045,0.50631,0.66562,0.84174,0.86238,0.95206,0.96226,0.84813,0.52752,0.65294,0.85368,0.000764086,0.000764086,0.000764086
49,978.972,0.5287,0.67364,0.852,0.90239,0.91954,0.9607,0.83923,0.5559,0.64864,0.85035,0.000749939,0.000749939,0.000749939
50,998.888,0.53238,0.67416,0.84724,0.938,0.89518,0.95532,0.84292,0.51833,0.65378,0.84547,0.000735792,0.000735792,0.000735792
51,1018.78,0.52993,0.67221,0.85111,0.86961,0.89473,0.93151,0.81611,0.5418,0.74159,0.85139,0.000721645,0.000721645,0.000721645
52,1038.86,0.56482,0.6762,0.86066,0.87437,0.84685,0.91214,0.76084,0.69006,0.78691,0.87862,0.000707498,0.000707498,0.000707498
53,1058.74,0.54682,0.65416,0.85356,0.86546,0.86446,0.91207,0.79171,0.5758,0.72646,0.86453,0.000693351,0.000693351,0.000693351
54,1078.57,0.55444,0.68021,0.86925,0.88665,0.86427,0.92172,0.80992,0.52275,0.70115,0.85342,0.000679204,0.000679204,0.000679204
55,1098.5,0.51061,0.65445,0.84964,0.91856,0.83963,0.93251,0.81053,0.59737,0.71608,0.85571,0.000665057,0.000665057,0.000665057
56,1118.51,0.54751,0.65372,0.84955,0.90605,0.87552,0.93163,0.80254,0.59282,0.69683,0.85641,0.000650909,0.000650909,0.000650909
57,1138.26,0.51477,0.63259,0.84719,0.89695,0.89872,0.93599,0.81858,0.53519,0.67784,0.84758,0.000636762,0.000636762,0.000636762
58,1158.09,0.47935,0.62106,0.85213,0.89051,0.91098,0.9439,0.83392,0.52383,0.66423,0.84519,0.000622615,0.000622615,0.000622615
59,1177.96,0.49712,0.62692,0.85055,0.88976,0.88123,0.93823,0.83138,0.49038,0.66844,0.84327,0.000608468,0.000608468,0.000608468
60,1198.38,0.51912,0.64646,0.84407,0.91689,0.90538,0.95123,0.83877,0.48748,0.62069,0.84497,0.000594321,0.000594321,0.000594321
61,1283.53,0.5243,0.62515,0.86258,0.95217,0.88194,0.95018,0.841,0.52179,0.61505,0.84381,0.000580174,0.000580174,0.000580174
62,1303.36,0.51097,0.62003,0.84436,0.94434,0.9195,0.95456,0.84977,0.51828,0.59414,0.83977,0.000566027,0.000566027,0.000566027
63,1323.3,0.51508,0.62068,0.8456,0.9336,0.91534,0.95926,0.86426,0.46587,0.58687,0.83651,0.00055188,0.00055188,0.00055188
64,1343.13,0.48425,0.59535,0.83796,0.95058,0.9195,0.96044,0.87111,0.48461,0.58124,0.8349,0.000537733,0.000537733,0.000537733
65,1362.98,0.52812,0.60957,0.86381,0.91376,0.94074,0.96295,0.84806,0.57098,0.59893,0.84294,0.000523586,0.000523586,0.000523586
66,1382.74,0.49798,0.60137,0.85232,0.93715,0.91668,0.96196,0.84251,0.58756,0.60894,0.84575,0.000509438,0.000509438,0.000509438
67,1402.6,0.47643,0.58628,0.84852,0.92277,0.93396,0.9634,0.85773,0.52663,0.60445,0.84232,0.000495291,0.000495291,0.000495291
68,1423.37,0.49778,0.58232,0.84228,0.95516,0.90324,0.96278,0.87583,0.44849,0.57933,0.83569,0.000481144,0.000481144,0.000481144
